tot instructions = 7724960, dmiss rate = 0.066, tmiss rate = 0.062
tot instructions = 13838041, dmiss rate = 0.053, tmiss rate = 0.053
tot instructions = 13021205, dmiss rate = 0.046, tmiss rate = 0.046
tot instructions = 11764885, dmiss rate = 0.081, tmiss rate = 0.081
tot instructions = 12827221, dmiss rate = 0.188, tmiss rate = 0.144
tot instructions = 11926271, dmiss rate = 0.104, tmiss rate = 0.102
tot instructions = 13537118, dmiss rate = 0.086, tmiss rate = 0.092
tot instructions = 12512685, dmiss rate = 0.055, tmiss rate = 0.055
tot instructions = 8927032, dmiss rate = 0.205, tmiss rate = 0.194
tot instructions = 21700420, dmiss rate = 0.081, tmiss rate = 0.081
tot instructions = 12986593, dmiss rate = 0.047, tmiss rate = 0.047
tot instructions = 13098893, dmiss rate = 0.196, tmiss rate = 0.181
tot instructions = 11073761, dmiss rate = 0.059, tmiss rate = 0.059
tot instructions = 15114596, dmiss rate = 0.082, tmiss rate = 0.082
tot instructions = 17083242, dmiss rate = 0.191, tmiss rate = 0.189
tot instructions = 17083242, dmiss rate = 0.191, tmiss rate = 0.189
tot instructions = 13191770, dmiss rate = 0.071, tmiss rate = 0.070
tot instructions = 14154055, dmiss rate = 0.060, tmiss rate = 0.061
tot instructions = 14190746, dmiss rate = 0.086, tmiss rate = 0.082
tot instructions = 12201864, dmiss rate = 0.059, tmiss rate = 0.058
tot instructions = 24586276, dmiss rate = 0.001, tmiss rate = 0.001
avg dmiss rate 9.56%
avg tmiss rate 9.19%
