site,name,labels,AP,P@10,RR,success@10
baidu,搜狐,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.2928968253968254,0.1,1.0,1
bing,搜狐,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.2928968253968254,0.1,1.0,1
baidu,国立清华大学,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.2928968253968254,0.1,1.0,1
bing,国立清华大学,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.10956349206349207,0.1,0.25,1
baidu,纳斯达克,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 0]",0.7164285714285714,0.6,1.0,1
bing,纳斯达克,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",0.9143253968253969,0.8,1.0,1
baidu,羽毛球,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 1]",0.43353174603174593,0.6,0.5,1
bing,羽毛球,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 1]",0.7446428571428572,0.7,1.0,1
baidu,原神,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",0.9521031746031745,0.9,1.0,1
bing,原神,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",0.8804365079365079,0.8,1.0,1
baidu,轮询调度,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]",0.7264285714285715,0.7,1.0,1
bing,轮询调度,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",0.7044841269841269,0.6,1.0,1
baidu,虚拟专用网络,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",0.4421825396825397,0.5,1.0,1
bing,虚拟专用网络,"[1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",0.668531746031746,0.5,1.0,1
baidu,清芬园,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 1]",0.6889285714285716,0.7,1.0,1
bing,清芬园,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.8228174603174603,0.5,1.0,1
baidu,买电影票,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",0.5336904761904762,0.3,1.0,1
bing,买电影票,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.48579365079365083,0.2,1.0,1
baidu,无痛人流,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0.03111111111111111,0.2,0.1111111111111111,1
bing,无痛人流,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0,0
